ts,airline,hour,count,min,p25,p50,p75,p90,max
"2025-01-01 00:00:00",AA,0,98,-11.0,-5.0,-0.99,8.94,30.88,122.0
"2025-01-01 00:00:00",AA,1,12,-18.0,-10.07,-7.03,-5.0,4.01,318.0
"2025-01-01 00:00:00",AA,5,708,-13.0,-7.03,-4.01,0.0,13.87,1594.0
"2025-01-01 00:00:00",AA,6,1163,-18.0,-5.99,-4.01,0.0,17.99,1418.0
"2025-01-01 00:00:00",AA,7,1204,-14.0,-5.99,-2.97,0.99,25.79,1771.0
"2025-01-01 00:00:00",AA,8,1216,-14.0,-5.99,-2.97,4.01,32.79,1386.0
"2025-01-01 00:00:00",AA,9,898,-14.0,-5.0,-1.99,5.99,32.79,786.0
"2025-01-01 00:00:00",AA,10,939,-26.0,-5.0,-1.99,13.87,58.56,1559.0
"2025-01-01 00:00:00",AA,11,1035,-15.0,-4.01,-0.99,13.07,52.99,582.0
"2025-01-01 00:00:00",AA,12,940,-15.0,-4.01,0.99,21.98,75.95,1470.0
"2025-01-01 00:00:00",AA,13,960,-18.0,-4.01,0.0,19.11,72.97,1293.0
"2025-01-01 00:00:00",AA,14,905,-23.0,-4.01,0.99,26.84,80.65,1168.0
"2025-01-01 00:00:00",AA,15,835,-16.0,-4.01,0.0,26.84,83.94,1485.0
"2025-01-01 00:00:00",AA,16,979,-20.0,-4.01,0.0,21.98,71.53,1051.0
"2025-01-01 00:00:00",AA,17,968,-20.0,-5.0,0.0,24.78,72.97,762.0
"2025-01-01 00:00:00",AA,18,1029,-22.0,-2.97,2.97,27.94,74.45,910.0
"2025-01-01 00:00:00",AA,19,887,-18.0,-4.01,1.99,29.08,80.65,890.0
"2025-01-01 00:00:00",AA,20,813,-26.0,-2.97,1.99,25.79,70.11,768.0
"2025-01-01 00:00:00",AA,21,580,-16.0,-4.01,1.99,25.79,72.97,686.0
"2025-01-01 00:00:00",AA,22,559,-15.0,-4.01,1.99,19.89,64.72,953.0
"2025-01-01 00:00:00",AA,23,241,-13.0,-5.0,-0.99,10.07,40.86,808.0
"2025-01-01 00:00:00",DL,0,12,-14.0,-8.94,-5.0,1.99,1.99,23.0
"2025-01-01 00:00:00",DL,1,14,-9.0,-5.99,-2.97,0.99,19.89,36.0
"2025-01-01 00:00:00",DL,3,6,-7.0,-4.01,-2.97,-2.97,-1.99,-1.0
"2025-01-01 00:00:00",DL,5,426,-18.0,-7.92,-4.01,0.99,13.07,358.0
"2025-01-01 00:00:00",DL,6,1220,-20.0,-5.99,-2.97,1.99,15.96,565.0
"2025-01-01 00:00:00",DL,7,1489,-26.0,-5.99,-2.97,1.99,19.89,911.0
"2025-01-01 00:00:00",DL,8,1129,-19.0,-5.0,-1.99,2.97,23.81,772.0
"2025-01-01 00:00:00",DL,9,842,-16.0,-5.0,-0.99,5.99,27.94,598.0
"2025-01-01 00:00:00",DL,10,945,-22.0,-5.99,-1.99,7.03,34.13,310.0
"2025-01-01 00:00:00",DL,11,1300,-18.0,-5.0,-0.99,10.07,36.24,709.0
"2025-01-01 00:00:00",DL,12,1043,-21.0,-5.0,-0.99,13.07,43.38,1113.0
"2025-01-01 00:00:00",DL,13,891,-16.0,-5.0,-0.99,13.87,41.68,1051.0
"2025-01-01 00:00:00",DL,14,903,-17.0,-5.0,-0.99,15.03,48.91,1109.0
"2025-01-01 00:00:00",DL,15,1098,-19.0,-4.01,0.0,19.11,57.4,1161.0
"2025-01-01 00:00:00",DL,16,775,-20.0,-5.0,0.0,19.11,55.15,309.0
"2025-01-01 00:00:00",DL,17,1034,-20.0,-5.99,-0.99,15.03,49.9,362.0
"2025-01-01 00:00:00",DL,18,977,-20.0,-5.0,0.0,16.95,55.15,947.0
"2025-01-01 00:00:00",DL,19,839,-22.0,-5.0,1.99,21.98,58.56,906.0
"2025-01-01 00:00:00",DL,20,500,-15.0,-4.01,1.99,21.12,48.91,762.0
"2025-01-01 00:00:00",DL,21,582,-18.0,-4.01,0.0,15.96,44.26,659.0
"2025-01-01 00:00:00",DL,22,648,-17.0,-5.0,0.0,13.87,36.24,903.0
"2025-01-01 00:00:00",DL,23,205,-17.0,-5.0,-0.99,10.91,40.86,191.0
"2025-01-01 00:00:00",UA,0,56,-10.0,-4.01,0.99,13.87,40.05,125.0
"2025-01-01 00:00:00",UA,1,7,-16.0,-15.03,4.01,5.99,29.08,57.0
"2025-01-01 00:00:00",UA,2,7,-9.0,-7.92,0.99,0.99,0.99,18.0
"2025-01-01 00:00:00",UA,5,304,-18.0,-7.03,-4.01,0.0,10.91,777.0
"2025-01-01 00:00:00",UA,6,866,-17.0,-5.99,-2.97,2.97,21.12,559.0
"2025-01-01 00:00:00",UA,7,1185,-13.0,-5.99,-2.97,2.97,30.27,743.0
"2025-01-01 00:00:00",UA,8,1183,-15.0,-5.0,-1.99,7.03,39.25,640.0
"2025-01-01 00:00:00",UA,9,861,-14.0,-4.01,0.99,15.03,56.27,438.0
"2025-01-01 00:00:00",UA,10,754,-17.0,-4.01,0.0,13.87,47.0,301.0
"2025-01-01 00:00:00",UA,11,810,-15.0,-4.01,0.99,22.88,63.44,450.0
"2025-01-01 00:00:00",UA,12,781,-16.0,-4.01,-0.99,12.06,40.86,1154.0
